"Country","Country_Code","2014","2015","2016"
"Argentina","ARG",35.4879081632653,27.6402730389031,50.3363313137755
"China","CHN",567.256385998108,506.109243697479,503.322119428091
"Korea, Rep.","KOR",366.111111111111,368.986002048481,380.281491907108
"United States","USA",135.651451555921,137.027278548559,138.594847713652
