"","Country","Country Code","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31","Bulgaria","BGR",113.768405365127,147.327414986458,80.8517959553275,74.2319571383549,73.9399744572158,102.009400324149,111.242875647668,104.600445009536,97.053358443189,133.082461538462,95.8697618329816,109.138258120149,108.803212851406,112.015558443602,125.543386638301
"32","Burkina Faso","BFA",0.427659574468085,10.3913725490196,12.540652173913,15.2436734693878,13.4042553191489,10.1010204081633,9.5345,9.4519298245614,9.4285,10.7024561403509,13.5669716796875,15.4607966859879,15.8807561848958,16.2886953125,21.7735166015625
"33","Burundi","BDI",1.34381338742394,0.304040404040404,1.11167512690355,3.54602510460251,3.34333333333333,2.01882352941176,2.17111111111111,1.86105263157895,3.62736842105263,5.635,5.79559992009943,9.30145846048991,10.2515584564209,15.1299247996012,5.42425837198894
"34","Cabo Verde","CPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Cambodia","KHM",5.82567567567568,3.85783783783784,5.36594594594595,8.10513513513514,8.0027027027027,8.99027027027027,7.64135135135135,10.0956756756757,12.1178947368421,16.2842105263158,24.0885108706826,18.6874049778988,21.2640551757813,25.2463372481497,17.3935973478618
"36","Cameroon","CMR",9.76862416107383,8.15520134228188,11.0627516778523,7.9989937950696,9.03219855777293,8.62284085192017,6.5574375314439,7.00285091396948,9.23903225806452,11.0359677419355,10.3357339969758,10.0583388986895,9.62103547127016,13.6304479586694,9.66752913936492
"37","Canada","CAN",57.6301666447973,58.9276106466548,54.632774829917,61.8212786638979,46.9949459123958,68.6041447530381,63.9640710444254,62.2087573586456,69.1755881742978,84.0782675479427,94.1524288480423,84.228133623871,89.4197024899615,91.614995577448,87.6250971073436
"38","Caribbean small states","CSS",83.7941567065073,84.7272727272727,78.7174770039422,60.6250957536743,63.4154154694984,53.9979494086785,91.2540464461647,56.2727272727273,66.3781918564527,79.6148555708391,83.5112036680229,118.623942028166,115.453661775364,116.4666159741,118.851917491268
"39","Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Central African Republic","CAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.417777777777778,0.281838883293999,0.281111111111111,0.281111111111111,0.340972224341498,NA
"41","Central Europe and the Baltics","CEB",91.3026791197492,102.452674683807,100.565414084124,106.605968156242,108.35784313218,120.123218887101,112.617962479378,96.5654751953668,113.336010973667,115.190888608209,116.032707116541,122.628323857547,118.103314687831,127.551191327297,129.182044631941
"42","Chad","TCD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Channel Islands","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Chile","CHL",307.773333333333,330.142666666667,491.352666666667,434.761379310345,475.814074074074,534.100633914422,687.240091463415,612.41679389313,373.248623131393,492.561123766135,339.402961808262,347.582123758594,358.229147914719,415.783701447068,293.844817856833
"45","China","CHN",377.458165938865,393.957206803939,413.724014336918,423.409175946548,452.046090156394,469.352445038485,482.880794701987,498.850074266617,515.408972206678,533.406778069846,550.997922960725,558.995459704881,567.256385998108,506.109243697479,503.322119428091
"46","Colombia","COL",309.002261420172,324.809628975265,320.96291331546,445.133267522211,571.249613539075,544.291291291291,486.731693989071,497.268169014084,585.191718661373,745.296973518285,805.791131970849,559.810056851962,613.692045171525,670.413388379434,659.452061160075
"47","Comoros","COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Congo, Dem. Rep.","COD",NA,0.275223880597015,0.208208955223881,0.0677611940298507,0.454925373134328,0.634776119402985,0.940296296296296,0.79720176730486,1.10411764705882,1.01042857142857,0.737446478185521,1.44542114257813,2.850732404682,2.95413249700842,2.47670284647337
"49","Congo, Rep.","COG",NA,NA,2.65102040816327,0.0653061224489796,0.0530612244897959,0.359183673469388,0.746938775510204,4.578,0.541176470588235,1.31509433962264,2.24798111825619,2.92749095569957,1.88583636197177,1.84409088134766,1.84409088134766
"50","Costa Rica","CRI",629.1915625,919.66857328869,751.060825892857,683.535593377976,845.468675595238,858.0435546875,915.70990234375,382.967311789773,519.317725694444,706.079480401401,635.327687230603,589.842007341056,566.283518943578,631.449864604084,604.885834911616
"51","Cote d'Ivoire","CIV",31.0189285714286,29.3453571428571,27.2189285714286,17.7803571428571,22.7725,23.99,18.211724137931,15.3075862068966,32.0858620689655,19.4027586206897,26.9183964170259,37.5806829202586,42.386986799569,50.6346780711207,51.6833378232759
"52","Croatia","HRV",256.988344988345,292.802083333333,312.584415584416,294.508591065292,380.787741203178,410.06338028169,495.228295520777,164.679260636007,297.3098106385,311.01148232795,191.387903053226,160.810127879931,192.076976949472,181.700040796157,119.309633027523
"53","Cuba","CUB",38.1047919957873,16.5026652452026,18.5302212628171,22.380174291939,32.1194276279582,35.699132381752,43.5780641122755,17.603308183401,29.8933215130024,42.02155909064,46.9427649127179,49.4971665176174,66.3862197164427,58.9786054326291,49.4462403044873
"54","Curacao","CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Cyprus","CYP",159.65,158.232142857143,131.407079646018,108.975609756098,109.026086956522,109.83606252101,112.014561032516,181.449939276517,202.772400840268,151.202380952381,196.526799536688,183.87055540899,158.20653469343,156.677755704493,196.738751510801
"56","Czech Republic","CZE",81.6791576339424,91.574309649395,87.0080845771144,89.5550015581178,94.2735790131168,100.169640062598,87.2641154328733,88.5169811320755,95.8457899716178,100.576485461441,127.665188470067,161.483006797281,162.657292085175,192.082230244685,196.147153167602
"57","Denmark","DNK",97.5584358523726,136.40026478376,144.784486557955,137.117066895369,138.581167447806,142.411968777103,147.676103247294,102.918140682847,113.71210243701,112.848739495798,107.113316790736,116.622773139665,120.502878289474,132.373990650234,131.147789473684
"58","Djibouti","DJI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Dominica","DMA",86.6,148.2,198.6,207.8,134.2,276,44.6,58.1666666666667,52.1666666666667,150.166666666667,84.8250020345052,122.61333211263,100.949999491374,149.026667277018,88.0516688028973
"60","Dominican Republic","DOM",73.3930957683742,52.2426829268293,59.1731707317073,58.240243902439,80.4670731707317,94.7573170731707,80.39875,80.56,107.00625,94.15625,74.46375,79.7825,88.16875,108.526640625,88.0897143554687
"61","Early-demographic dividend","EAR",84.3749849934461,89.4121459563199,95.8497529775147,100.416446767886,105.107189230722,108.908078435925,109.647292543341,115.54092251863,122.172268018451,124.413040784345,122.093458103847,121.71778405929,127.366791378778,128.142701408782,130.40954695411
"62","East Asia & Pacific","EAS",246.100753491323,258.309049491479,268.290821172727,269.549914542853,282.799822794194,301.311864876353,301.191321446832,302.659127535834,319.469563417853,321.606703419088,334.648004806116,343.757376285026,347.420456586441,328.398688977949,331.025994536467
"63","East Asia & Pacific (excluding high income)","EAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","East Asia & Pacific (IDA & IBRD countries)","TEA",289.742209080213,304.435800469061,316.567571386492,319.17082853903,NA,NA,NA,NA,NA,NA,407.999001497436,419.184437180622,423.030233410944,391.789809385231,391.272848530234
"65","Ecuador","ECU",167.622058823529,156.822170900693,217.529365700861,150.829475308642,207.789943227899,199.106276150628,214.119741100324,187.278635507561,252.070965817536,275.355207618826,254.743534415608,236.170985134003,369.850731291364,313.625680098252,345.441918545082
"66","Egypt, Arab Rep.","EGY",432.532697547684,627.750516173434,557.593929173693,672.883339836129,492.123224568138,521.78744149766,696.593111279334,502.825242718447,602.986425339367,602.866809116809,573.069720141835,651.995782487042,709.687576115074,631.339711568543,649.194044474581
